#, P1Heuristic, P2Heuristic, Winner, MoveCount
177,H1,H2,P1Heuristic,41
178,H2,H1,P1Heuristic,41
179,H1,H2,P1Heuristic,43
180,H2,H1,P2Heuristic,40
181,H1,H2,P2Heuristic,42
182,H2,H1,P1Heuristic,35
183,H1,H2,P1Heuristic,45
184,H2,H1,P1Heuristic,39
185,H1,H2,P1Heuristic,43
186,H2,H1,P2Heuristic,44
187,H1,H2,P1Heuristic,39
188,H2,H1,P1Heuristic,43
189,H1,H2,P2Heuristic,34
190,H2,H1,P2Heuristic,36
191,H1,H2,P1Heuristic,33
192,H2,H1,P2Heuristic,44
193,H1,H2,P2Heuristic,40
194,H2,H1,P1Heuristic,45
195,H1,H2,P1Heuristic,41
196,H2,H1,P2Heuristic,44
197,H1,H2,P1Heuristic,45
198,H2,H1,P2Heuristic,44
199,H1,H2,P2Heuristic,44
200,H2,H1,P1Heuristic,45
